pHvalue,TEMP,EC,Crop,,,,,,,
5.9,24,8,Rice,,,,,,,
6,24,8,Rice,,,,,,,
6.1,24,8,Rice,,,,,,,
6.2,24,8,Rice,,,,,,,
6.3,24,8,Rice,,,,,,,
6.4,24,8,Rice,,,,,,,
6.5,24,8,Rice,,,,,,,
6.6,24,8,Rice,,,,,,,
6.7,24,8,Rice,,,,,,,
6.8,24,8,Rice,,,,,,,
6.9,24,8,Rice,,,,,,,
7,24,8,Rice,,,,,,,
5.5,25,8,Rice,,,,,,,
5.6,25,8,Rice,,,,,,,
5.7,25,8,Rice,,,,,,,
5.8,25,8,Rice,,,,,,,
5.9,25,8,Rice,,,,,,,
6,25,8,Rice,,,,,,,
6.1,25,8,Rice,,,,,,,
6.2,25,8,Rice,,,,,,,
6.3,25,8,Rice,,,,,,,
6.4,25,8,Rice,,,,,,,
6.5,25,8,Rice,,,,,,,
6.6,25,8,Rice,,,,,,,
6.7,25,8,Rice,,,,,,,
6.8,25,8,Rice,,,,,,,
6.9,25,8,Rice,,,,,,,
7,25,8,Rice,,,,,,,
5.5,26,8,Rice,,,,,,,
5.6,26,8,Rice,,,,,,,
5.7,26,8,Rice,,,,,,,
5.8,26,8,Rice,,,,,,,
5.9,26,8,Rice,,,,,,,
6,26,8,Rice,,,,,,,
6.1,26,8,Rice,,,,,,,
6.2,26,8,Rice,,,,,,,
6.3,26,8,Rice,,,,,,,
6.4,26,8,Rice,,,,,,,
6.5,26,8,Rice,,,,,,,
6.6,26,8,Rice,,,,,,,
6.7,26,8,Rice,,,,,,,
6.8,26,8,Rice,,,,,,,
6.9,26,8,Rice,,,,,,,
7,26,8,Rice,,,,,,,
5.5,27,4,Rice,,,,,,,
5.6,27,4,Rice,,,,,,,
5.7,27,4,Rice,,,,,,,
5.8,27,4,Rice,,,,,,,
5.9,27,4,Rice,,,,,,,
6,27,4,Rice,,,,,,,
6.1,27,4,Rice,,,,,,,
6.2,27,4,Rice,,,,,,,
6.3,27,4,Rice,,,,,,,
6.4,27,4,Rice,,,,,,,
6.5,27,4,Rice,,,,,,,
6.6,27,4,Rice,,,,,,,
6.7,27,4,Rice,,,,,,,
6.8,27,4,Rice,,,,,,,
6.9,27,4,Rice,,,,,,,
7,27,4,Rice,,,,,,,
6,12,4,Wheat,,,,,,,
6.1,12,4,Wheat,,,,,,,
6.2,12,4,Wheat,,,,,,,
6.3,12,4,Wheat,,,,,,,
6.4,12,4,Wheat,,,,,,,
6.5,12,4,Wheat,,,,,,,
6.6,12,4,Wheat,,,,,,,
6.7,12,4,Wheat,,,,,,,
6.8,12,4,Wheat,,,,,,,
6.9,12,4,Wheat,,,,,,,
7,12,4,Wheat,,,,,,,
7.1,12,4,Wheat,,,,,,,
7.2,12,4,Wheat,,,,,,,
7.3,12,4,Wheat,,,,,,,
7.4,12,4,Wheat,,,,,,,
7.5,12,4,Wheat,,,,,,,
6,13,5,Wheat,,,,,,,
6.1,13,5,Wheat,,,,,,,
6.2,13,5,Wheat,,,,,,,
6.3,13,5,Wheat,,,,,,,
6.4,13,5,Wheat,,,,,,,
6.5,13,5,Wheat,,,,,,,
6.6,13,5,Wheat,,,,,,,
6.7,13,5,Wheat,,,,,,,
6.8,13,5,Wheat,,,,,,,
6.9,13,5,Wheat,,,,,,,
7,13,5,Wheat,,,,,,,
7.1,13,5,Wheat,,,,,,,
7.2,13,5,Wheat,,,,,,,
7.3,13,5,Wheat,,,,,,,
7.4,13,5,Wheat,,,,,,,
7.5,13,5,Wheat,,,,,,,
6,14,5,Wheat,,,,,,,
6.1,14,5,Wheat,,,,,,,
6.2,14,5,Wheat,,,,,,,
6.3,14,5,Wheat,,,,,,,
6.4,14,5,Wheat,,,,,,,
6.5,14,5,Wheat,,,,,,,
6.6,14,5,Wheat,,,,,,,
6.7,14,5,Wheat,,,,,,,
6.8,14,5,Wheat,,,,,,,
6.9,14,5,Wheat,,,,,,,
7,14,5,Wheat,,,,,,,
7.1,14,5,Wheat,,,,,,,
7.2,14,5,Wheat,,,,,,,
7.3,14,5,Wheat,,,,,,,
7.4,14,5,Wheat,,,,,,,
7.5,14,5,Wheat,,,,,,,
6,15,5,Wheat,,,,,,,
6.1,15,5,Wheat,,,,,,,
6.2,15,5,Wheat,,,,,,,
6.3,15,5,Wheat,,,,,,,
6.4,15,5,Wheat,,,,,,,
6.5,15,5,Wheat,,,,,,,
6.6,15,5,Wheat,,,,,,,
6.7,15,5,Wheat,,,,,,,
6.8,15,5,Wheat,,,,,,,
6.9,15,5,Wheat,,,,,,,
7,15,5,Wheat,,,,,,,
7.1,15,5,Wheat,,,,,,,
7.2,15,5,Wheat,,,,,,,
7.3,15,5,Wheat,,,,,,,
7.4,15,5,Wheat,,,,,,,
7.5,15,5,Wheat,,,,,,,
6,16,8,Wheat,,,,,,,
6.1,16,8,Wheat,,,,,,,
6.2,16,8,Wheat,,,,,,,
6.3,16,8,Wheat,,,,,,,
6.4,16,8,Wheat,,,,,,,
6.5,16,8,Wheat,,,,,,,
6.6,16,8,Wheat,,,,,,,
6.7,16,8,Wheat,,,,,,,
6.8,16,8,Wheat,,,,,,,
6.9,16,8,Wheat,,,,,,,
7,16,8,Wheat,,,,,,,
7.1,16,8,Wheat,,,,,,,
7.2,16,8,Wheat,,,,,,,
7.3,16,8,Wheat,,,,,,,
7.4,16,8,Wheat,,,,,,,
7.5,16,8,Wheat,,,,,,,
6,17,8,Wheat,,,,,,,
6.1,17,8,Wheat,,,,,,,
6.2,17,8,Wheat,,,,,,,
6.3,17,8,Wheat,,,,,,,
6.4,17,8,Wheat,,,,,,,
6.5,17,8,Wheat,,,,,,,
6.6,17,8,Wheat,,,,,,,
6.7,17,8,Wheat,,,,,,,
6.8,17,8,Wheat,,,,,,,
6.9,17,8,Wheat,,,,,,,
7,17,8,Wheat,,,,,,,
7.1,17,8,Wheat,,,,,,,
7.2,17,8,Wheat,,,,,,,
7.3,17,8,Wheat,,,,,,,
7.4,17,8,Wheat,,,,,,,
7.5,17,8,Wheat,,,,,,,
6,18,8,Wheat,,,,,,,
6.1,18,8,Wheat,,,,,,,
6.2,18,8,Wheat,,,,,,,
6.3,18,8,Wheat,,,,,,,
6.4,18,8,Wheat,,,,,,,
6.5,18,8,Wheat,,,,,,,
6.6,18,8,Wheat,,,,,,,
6.7,18,8,Wheat,,,,,,,
6.8,18,8,Wheat,,,,,,,
6.9,18,8,Wheat,,,,,,,
7,18,8,Wheat,,,,,,,
7.1,18,8,Wheat,,,,,,,
7.2,18,8,Wheat,,,,,,,
7.3,18,8,Wheat,,,,,,,
7.4,18,8,Wheat,,,,,,,
7.5,18,8,Wheat,,,,,,,
6,19,8,Wheat,,,,,,,
6.1,19,8,Wheat,,,,,,,
6.2,19,8,Wheat,,,,,,,
6.3,19,8,Wheat,,,,,,,
6.4,19,8,Wheat,,,,,,,
6.5,19,8,Wheat,,,,,,,
6.6,19,8,Wheat,,,,,,,
6.7,19,8,Wheat,,,,,,,
6.8,19,8,Wheat,,,,,,,
6.9,19,8,Wheat,,,,,,,
7,19,8,Wheat,,,,,,,
7.1,19,8,Wheat,,,,,,,
7.2,19,8,Wheat,,,,,,,
7.3,19,8,Wheat,,,,,,,
7.4,19,8,Wheat,,,,,,,
7.5,19,8,Wheat,,,,,,,
6,20,8,Wheat,,,,,,,
6.1,20,8,Wheat,,,,,,,
6.2,20,8,Wheat,,,,,,,
6.3,20,8,Wheat,,,,,,,
6.4,20,8,Wheat,,,,,,,
6.5,20,8,Wheat,,,,,,,
6.6,20,8,Wheat,,,,,,,
6.7,20,8,Wheat,,,,,,,
6.8,20,8,Wheat,,,,,,,
6.9,20,8,Wheat,,,,,,,
7,20,8,Wheat,,,,,,,
7.1,20,8,Wheat,,,,,,,
7.2,20,8,Wheat,,,,,,,
7.3,20,8,Wheat,,,,,,,
7.4,20,8,Wheat,,,,,,,
7.5,20,8,Wheat,,,,,,,
6,21,8,Wheat,,,,,,,
6.1,21,8,Wheat,,,,,,,
6.2,21,8,Wheat,,,,,,,
6.3,21,8,Wheat,,,,,,,
6.4,21,8,Wheat,,,,,,,
6.5,21,8,Wheat,,,,,,,
6.6,21,8,Wheat,,,,,,,
6.7,21,8,Wheat,,,,,,,
6.8,21,8,Wheat,,,,,,,
6.9,21,8,Wheat,,,,,,,
7,21,8,Wheat,,,,,,,
7.1,21,8,Wheat,,,,,,,
7.2,21,8,Wheat,,,,,,,
7.3,21,8,Wheat,,,,,,,
7.4,21,8,Wheat,,,,,,,
7.5,21,8,Wheat,,,,,,,
6,22,8,Wheat,,,,,,,
6.1,22,8,Wheat,,,,,,,
6.2,22,8,Wheat,,,,,,,
6.3,22,8,Wheat,,,,,,,
6.4,22,8,Wheat,,,,,,,
6.5,22,8,Wheat,,,,,,,
6.6,22,8,Wheat,,,,,,,
6.7,22,8,Wheat,,,,,,,
6.8,22,8,Wheat,,,,,,,
6.9,22,8,Wheat,,,,,,,
7,22,8,Wheat,,,,,,,
7.1,22,8,Wheat,,,,,,,
7.2,22,8,Wheat,,,,,,,
7.3,22,8,Wheat,,,,,,,
7.4,22,8,Wheat,,,,,,,
7.5,22,8,Wheat,,,,,,,
6,23,8,Wheat,,,,,,,
6.1,23,8,Wheat,,,,,,,
6.2,23,8,Wheat,,,,,,,
6.3,23,8,Wheat,,,,,,,
6.4,23,8,Wheat,,,,,,,
6.5,23,8,Wheat,,,,,,,
6.6,23,8,Wheat,,,,,,,
6.7,23,8,Wheat,,,,,,,
6.8,23,8,Wheat,,,,,,,
6.9,23,8,Wheat,,,,,,,
7,23,8,Wheat,,,,,,,
7.1,23,8,Wheat,,,,,,,
7.2,23,8,Wheat,,,,,,,
7.3,23,8,Wheat,,,,,,,
7.4,23,8,Wheat,,,,,,,
7.5,23,8,Wheat,,,,,,,
5.5,20,8,Jowar,,,,,,,
5.6,20,8,Jowar,,,,,,,
5.7,20,8,Jowar,,,,,,,
5.8,20,8,Jowar,,,,,,,
5.9,20,8,Jowar,,,,,,,
6,20,8,Jowar,,,,,,,
6.1,20,8,Jowar,,,,,,,
6.2,20,8,Jowar,,,,,,,
6.3,20,8,Jowar,,,,,,,
6.4,20,8,Jowar,,,,,,,
6.5,20,8,Jowar,,,,,,,
6.6,20,8,Jowar,,,,,,,
6.7,20,8,Jowar,,,,,,,
6.8,20,8,Jowar,,,,,,,
6.9,20,8,Jowar,,,,,,,
7,20,8,Jowar,,,,,,,
5.5,21,4,Jowar,,,,,,,
5.6,21,4,Jowar,,,,,,,
5.7,21,4,Jowar,,,,,,,
5.8,21,4,Jowar,,,,,,,
5.9,21,4,Jowar,,,,,,,
6,21,4,Jowar,,,,,,,
6.1,21,4,Jowar,,,,,,,
6.2,21,4,Jowar,,,,,,,
6.3,21,4,Jowar,,,,,,,
6.4,21,4,Jowar,,,,,,,
6.5,21,4,Jowar,,,,,,,
6.6,21,4,Jowar,,,,,,,
6.7,21,4,Jowar,,,,,,,
6.8,21,4,Jowar,,,,,,,
6.9,21,4,Jowar,,,,,,,
7,21,4,Jowar,,,,,,,
5.5,22,9,Jowar,,,,,,,
5.6,22,9,Jowar,,,,,,,
5.7,22,9,Jowar,,,,,,,
5.8,22,9,Jowar,,,,,,,
5.9,22,9,Jowar,,,,,,,
6,22,9,Jowar,,,,,,,
6.1,22,9,Jowar,,,,,,,
6.2,22,9,Jowar,,,,,,,
6.3,22,9,Jowar,,,,,,,
6.4,22,9,Jowar,,,,,,,
6.5,22,9,Jowar,,,,,,,
6.6,22,9,Jowar,,,,,,,
6.7,22,9,Jowar,,,,,,,
6.8,22,9,Jowar,,,,,,,
6.9,22,9,Jowar,,,,,,,
7,22,9,Jowar,,,,,,,
5.5,23,9,Jowar,,,,,,,
5.6,23,9,Jowar,,,,,,,
5.7,23,9,Jowar,,,,,,,
5.8,23,9,Jowar,,,,,,,
5.9,23,9,Jowar,,,,,,,
6,23,9,Jowar,,,,,,,
6.1,23,9,Jowar,,,,,,,
6.2,23,9,Jowar,,,,,,,
6.3,23,9,Jowar,,,,,,,
6.4,23,9,Jowar,,,,,,,
6.5,23,9,Jowar,,,,,,,
6.6,23,9,Jowar,,,,,,,
6.7,23,9,Jowar,,,,,,,
6.8,23,9,Jowar,,,,,,,
6.9,23,9,Jowar,,,,,,,
7,23,9,Jowar,,,,,,,
5.5,24,9,Jowar,,,,,,,
5.6,24,9,Jowar,,,,,,,
5.7,24,9,Jowar,,,,,,,
5.8,24,9,Jowar,,,,,,,
5.9,24,9,Jowar,,,,,,,
6,24,9,Jowar,,,,,,,
6.1,24,9,Jowar,,,,,,,
6.2,24,9,Jowar,,,,,,,
6.3,24,9,Jowar,,,,,,,
6.4,24,9,Jowar,,,,,,,
6.5,24,9,Jowar,,,,,,,
6.6,24,9,Jowar,,,,,,,
6.7,24,9,Jowar,,,,,,,
6.8,24,9,Jowar,,,,,,,
6.9,24,9,Jowar,,,,,,,
7,24,9,Jowar,,,,,,,
5.5,25,9,Jowar,,,,,,,
5.6,25,9,Jowar,,,,,,,
5.7,25,9,Jowar,,,,,,,
5.8,25,9,Jowar,,,,,,,
5.9,25,9,Jowar,,,,,,,
6,25,9,Jowar,,,,,,,
6.1,25,9,Jowar,,,,,,,
6.2,25,9,Jowar,,,,,,,
6.3,25,9,Jowar,,,,,,,
6.4,25,9,Jowar,,,,,,,
6.5,25,9,Jowar,,,,,,,
6.6,25,9,Jowar,,,,,,,
6.7,25,9,Jowar,,,,,,,
6.8,25,9,Jowar,,,,,,,
6.9,25,9,Jowar,,,,,,,
7,25,9,Jowar,,,,,,,
5.5,26,8,Jowar,,,,,,,
5.6,26,8,Jowar,,,,,,,
5.7,26,8,Jowar,,,,,,,
5.8,26,8,Jowar,,,,,,,
5.9,26,8,Jowar,,,,,,,
6,26,8,Jowar,,,,,,,
6.1,26,8,Jowar,,,,,,,
6.2,26,8,Jowar,,,,,,,
6.3,26,8,Jowar,,,,,,,
6.4,26,8,Jowar,,,,,,,
6.5,26,8,Jowar,,,,,,,
6.6,26,8,Jowar,,,,,,,
6.7,26,8,Jowar,,,,,,,
6.8,26,8,Jowar,,,,,,,
6.9,26,8,Jowar,,,,,,,
7,26,8,Jowar,,,,,,,
5.5,27,8,Jowar,,,,,,,
5.6,27,8,Jowar,,,,,,,
5.7,27,8,Jowar,,,,,,,
5.8,27,8,Jowar,,,,,,,
5.9,27,8,Jowar,,,,,,,
6,27,8,Jowar,,,,,,,
6.1,27,8,Jowar,,,,,,,
6.2,27,8,Jowar,,,,,,,
6.3,27,8,Jowar,,,,,,,
6.4,27,8,Jowar,,,,,,,
6.5,27,8,Jowar,,,,,,,
6.6,27,8,Jowar,,,,,,,
6.7,27,8,Jowar,,,,,,,
6.8,27,8,Jowar,,,,,,,
6.9,27,8,Jowar,,,,,,,
7,27,8,Jowar,,,,,,,
5.5,28,6,Jowar,,,,,,,
5.6,28,6,Jowar,,,,,,,
5.7,28,6,Jowar,,,,,,,
5.8,28,6,Jowar,,,,,,,
5.9,28,6,Jowar,,,,,,,
6,28,6,Jowar,,,,,,,
6.1,28,6,Jowar,,,,,,,
6.2,28,6,Jowar,,,,,,,
6.3,28,6,Jowar,,,,,,,
6.4,28,6,Jowar,,,,,,,
6.5,28,6,Jowar,,,,,,,
6.6,28,6,Jowar,,,,,,,
6.7,28,6,Jowar,,,,,,,
6.8,28,6,Jowar,,,,,,,
6.9,28,6,Jowar,,,,,,,
7,28,6,Jowar,,,,,,,
5.5,29,6,Jowar,,,,,,,
5.6,29,6,Jowar,,,,,,,
5.7,29,6,Jowar,,,,,,,
5.8,29,6,Jowar,,,,,,,
5.9,29,6,Jowar,,,,,,,
6,29,6,Jowar,,,,,,,
6.1,29,6,Jowar,,,,,,,
6.2,29,6,Jowar,,,,,,,
6.3,29,6,Jowar,,,,,,,
6.4,29,6,Jowar,,,,,,,
6.5,29,6,Jowar,,,,,,,
6.6,29,6,Jowar,,,,,,,
6.7,29,6,Jowar,,,,,,,
6.8,29,6,Jowar,,,,,,,
6.9,29,6,Jowar,,,,,,,
7,29,6,Jowar,,,,,,,
5.5,30,3,Jowar,,,,,,,
5.6,30,3,Jowar,,,,,,,
5.7,30,3,Jowar,,,,,,,
5.8,30,3,Jowar,,,,,,,
5.9,30,3,Jowar,,,,,,,
6,30,3,Jowar,,,,,,,
6.1,30,3,Jowar,,,,,,,
6.2,30,3,Jowar,,,,,,,
6.3,30,3,Jowar,,,,,,,
6.4,30,3,Jowar,,,,,,,
6.5,30,3,Jowar,,,,,,,
6.6,30,3,Jowar,,,,,,,
6.7,30,3,Jowar,,,,,,,
6.8,30,3,Jowar,,,,,,,
6.9,30,3,Jowar,,,,,,,
7,30,3,Jowar,,,,,,,
5.5,31,2,Jowar,,,,,,,
5.6,31,2,Jowar,,,,,,,
5.7,31,2,Jowar,,,,,,,
5.8,31,2,Jowar,,,,,,,
5.9,31,2,Jowar,,,,,,,
6,31,2,Jowar,,,,,,,
6.1,31,2,Jowar,,,,,,,
6.2,31,2,Jowar,,,,,,,
6.3,31,2,Jowar,,,,,,,
6.4,31,2,Jowar,,,,,,,
6.5,31,2,Jowar,,,,,,,
6.6,31,2,Jowar,,,,,,,
6.7,31,2,Jowar,,,,,,,
6.8,31,2,Jowar,,,,,,,
6.9,31,2,Jowar,,,,,,,
7,31,2,Jowar,,,,,,,
5.5,32,2,Jowar,,,,,,,
5.6,32,2,Jowar,,,,,,,
5.7,32,2,Jowar,,,,,,,
5.8,32,2,Jowar,,,,,,,
5.9,32,2,Jowar,,,,,,,
6,32,2,Jowar,,,,,,,
6.1,32,2,Jowar,,,,,,,
6.2,32,2,Jowar,,,,,,,
6.3,32,2,Jowar,,,,,,,
6.4,32,2,Jowar,,,,,,,
6.5,32,2,Jowar,,,,,,,
6.6,32,2,Jowar,,,,,,,
6.7,32,2,Jowar,,,,,,,
6.8,32,2,Jowar,,,,,,,
6.9,32,2,Jowar,,,,,,,
7,32,2,Jowar,,,,,,,
5.5,33,2,Jowar,,,,,,,
5.6,33,2,Jowar,,,,,,,
5.7,33,2,Jowar,,,,,,,
5.8,33,2,Jowar,,,,,,,
5.9,33,2,Jowar,,,,,,,
6,33,2,Jowar,,,,,,,
6.1,33,2,Jowar,,,,,,,
6.2,33,2,Jowar,,,,,,,
6.3,33,2,Jowar,,,,,,,
6.4,33,2,Jowar,,,,,,,
6.5,33,2,Jowar,,,,,,,
6.6,33,2,Jowar,,,,,,,
6.7,33,2,Jowar,,,,,,,
6.8,33,2,Jowar,,,,,,,
6.9,33,2,Jowar,,,,,,,
7,33,2,Jowar,,,,,,,
5.5,34,4,Jowar,,,,,,,
5.6,34,4,Jowar,,,,,,,
5.7,34,4,Jowar,,,,,,,
5.8,34,4,Jowar,,,,,,,
5.9,34,4,Jowar,,,,,,,
6,34,4,Jowar,,,,,,,
6.1,34,4,Jowar,,,,,,,
6.2,34,4,Jowar,,,,,,,
6.3,34,4,Jowar,,,,,,,
6.4,34,4,Jowar,,,,,,,
6.5,34,4,Jowar,,,,,,,
6.6,34,4,Jowar,,,,,,,
6.7,34,4,Jowar,,,,,,,
6.8,34,4,Jowar,,,,,,,
6.9,34,4,Jowar,,,,,,,
7,34,4,Jowar,,,,,,,
5.5,35,3,Jowar,,,,,,,
5.6,35,3,Jowar,,,,,,,
5.7,35,3,Jowar,,,,,,,
5.8,35,3,Jowar,,,,,,,
5.9,35,3,Jowar,,,,,,,
6,35,3,Jowar,,,,,,,
6.1,35,3,Jowar,,,,,,,
6.2,35,3,Jowar,,,,,,,
6.3,35,3,Jowar,,,,,,,
6.4,35,3,Jowar,,,,,,,
6.5,35,3,Jowar,,,,,,,
6.6,35,3,Jowar,,,,,,,
6.7,35,3,Jowar,,,,,,,
6.8,35,3,Jowar,,,,,,,
6.9,35,3,Jowar,,,,,,,
7,35,3,Jowar,,,,,,,
5.5,25,3,Bajra,,,,,,,
5.6,25,3,Bajra,,,,,,,
5.7,25,3,Bajra,,,,,,,
5.8,25,3,Bajra,,,,,,,
5.9,25,3,Bajra,,,,,,,
6,25,3,Bajra,,,,,,,
6.1,25,3,Bajra,,,,,,,
6.2,25,3,Bajra,,,,,,,
6.3,25,3,Bajra,,,,,,,
6.4,25,3,Bajra,,,,,,,
6.5,25,3,Bajra,,,,,,,
6.6,25,3,Bajra,,,,,,,
6.7,25,3,Bajra,,,,,,,
6.8,25,3,Bajra,,,,,,,
6.9,25,3,Bajra,,,,,,,
7,25,3,Bajra,,,,,,,
5.5,26,3,Bajra,,,,,,,
5.6,26,3,Bajra,,,,,,,
5.7,26,3,Bajra,,,,,,,
5.8,26,3,Bajra,,,,,,,
5.9,26,3,Bajra,,,,,,,
6,26,3,Bajra,,,,,,,
6.1,26,3,Bajra,,,,,,,
6.2,26,3,Bajra,,,,,,,
6.3,26,3,Bajra,,,,,,,
6.4,26,3,Bajra,,,,,,,
6.5,26,3,Bajra,,,,,,,
6.6,26,3,Bajra,,,,,,,
6.7,26,3,Bajra,,,,,,,
6.8,26,3,Bajra,,,,,,,
6.9,26,3,Bajra,,,,,,,
7,26,3,Bajra,,,,,,,
5.5,27,6,Bajra,,,,,,,
5.6,27,6,Bajra,,,,,,,
5.7,27,6,Bajra,,,,,,,
5.8,27,6,Bajra,,,,,,,
5.9,27,6,Bajra,,,,,,,
6,27,6,Bajra,,,,,,,
6.1,27,6,Bajra,,,,,,,
6.2,27,6,Bajra,,,,,,,
6.3,27,6,Bajra,,,,,,,
6.4,27,6,Bajra,,,,,,,
6.5,27,6,Bajra,,,,,,,
6.6,27,6,Bajra,,,,,,,
6.7,27,6,Bajra,,,,,,,
6.8,27,6,Bajra,,,,,,,
6.9,27,6,Bajra,,,,,,,
7,27,6,Bajra,,,,,,,
5.5,28,6,Bajra,,,,,,,
5.6,28,6,Bajra,,,,,,,
5.7,28,6,Bajra,,,,,,,
5.8,28,6,Bajra,,,,,,,
5.9,28,6,Bajra,,,,,,,
6,28,6,Bajra,,,,,,,
6.1,28,6,Bajra,,,,,,,
6.2,28,6,Bajra,,,,,,,
6.3,28,6,Bajra,,,,,,,
6.4,28,6,Bajra,,,,,,,
6.5,28,6,Bajra,,,,,,,
6.6,28,6,Bajra,,,,,,,
6.7,28,6,Bajra,,,,,,,
6.8,28,6,Bajra,,,,,,,
6.9,28,6,Bajra,,,,,,,
7,28,6,Bajra,,,,,,,
5.5,29,5,Bajra,,,,,,,
5.6,29,5,Bajra,,,,,,,
5.7,29,5,Bajra,,,,,,,
5.8,29,5,Bajra,,,,,,,
